Date,Argentina,Belgium,Brazil,Norway,Panama,Spain,Sweden,Thailand
2020-03-25,8.0,178.0,59.0,14.0,8.0,3647.0,62.0,4.0
2020-03-26,12.0,220.0,77.0,14.0,9.0,4365.0,77.0,4.0
2020-03-27,13.0,289.0,92.0,19.0,14.0,5138.0,105.0,5.0
2020-03-28,19.0,353.0,114.0,23.0,17.0,5982.0,105.0,6.0
2020-03-29,20.0,431.0,136.0,26.0,24.0,6803.0,110.0,7.0
2020-03-30,23.0,513.0,163.0,32.0,27.0,7716.0,146.0,9.0
2020-03-31,27.0,705.0,201.0,39.0,30.0,8464.0,180.0,10.0
2020-04-01,32.0,828.0,242.0,44.0,32.0,9387.0,239.0,12.0
2020-04-02,36.0,1011.0,324.0,50.0,37.0,10348.0,308.0,15.0
2020-04-03,42.0,1143.0,363.0,59.0,41.0,11198.0,358.0,19.0
2020-04-04,43.0,1283.0,445.0,62.0,46.0,11947.0,373.0,20.0
2020-04-05,46.0,1447.0,486.0,71.0,46.0,12641.0,401.0,23.0
2020-04-06,53.0,1632.0,564.0,76.0,55.0,13341.0,477.0,26.0
2020-04-07,60.0,2035.0,686.0,89.0,55.0,14045.0,591.0,27.0
2020-04-08,65.0,2240.0,820.0,101.0,63.0,14792.0,687.0,30.0
2020-04-09,79.0,2523.0,954.0,108.0,66.0,15447.0,793.0,32.0
2020-04-10,82.0,3019.0,1068.0,113.0,74.0,16081.0,870.0,33.0
2020-04-11,89.0,3346.0,1140.0,119.0,79.0,16606.0,887.0,35.0
2020-04-12,90.0,3600.0,1223.0,128.0,87.0,17209.0,899.0,38.0
2020-04-13,98.0,3903.0,1328.0,134.0,94.0,17756.0,919.0,40.0
2020-04-14,102.0,4157.0,1532.0,139.0,95.0,18255.0,1033.0,41.0
2020-04-15,112.0,4440.0,1757.0,150.0,103.0,18812.0,1203.0,43.0
2020-04-16,122.0,4857.0,1947.0,152.0,103.0,19315.0,1333.0,46.0
2020-04-17,123.0,5163.0,2141.0,161.0,109.0,20002.0,1400.0,47.0
2020-04-18,132.0,5453.0,2361.0,164.0,116.0,20639.0,1511.0,47.0
2020-04-19,134.0,5683.0,2462.0,165.0,120.0,20453.0,1540.0,47.0
2020-04-20,142.0,5828.0,2587.0,181.0,126.0,20852.0,1580.0,47.0
2020-04-21,151.0,5998.0,2741.0,182.0,136.0,21282.0,1765.0,48.0
2020-04-22,159.0,6262.0,2906.0,187.0,141.0,21717.0,1937.0,49.0
2020-04-23,165.0,6490.0,3313.0,194.0,144.0,22157.0,2021.0,50.0
2020-04-24,176.0,6679.0,3670.0,199.0,146.0,22524.0,2152.0,50.0
2020-04-25,185.0,6917.0,4045.0,201.0,154.0,22902.0,2192.0,51.0
2020-04-26,192.0,7094.0,4271.0,201.0,159.0,23190.0,2194.0,51.0
2020-04-27,197.0,7207.0,4543.0,205.0,165.0,23521.0,2274.0,52.0
2020-04-28,207.0,7331.0,5063.0,206.0,167.0,23822.0,2355.0,54.0
2020-04-29,214.0,7501.0,5511.0,207.0,176.0,24275.0,2462.0,54.0
2020-04-30,218.0,7594.0,5901.0,210.0,178.0,24543.0,2586.0,54.0
2020-05-01,225.0,7703.0,6410.0,210.0,188.0,24824.0,2653.0,54.0
2020-05-02,237.0,7765.0,6750.0,211.0,192.0,25100.0,2669.0,54.0
2020-05-03,246.0,7844.0,7025.0,211.0,197.0,25264.0,2679.0,54.0
2020-05-04,260.0,7924.0,7343.0,214.0,200.0,25428.0,2769.0,54.0
2020-05-05,264.0,8016.0,7921.0,215.0,203.0,25613.0,2854.0,54.0
2020-05-06,273.0,8339.0,8588.0,216.0,210.0,25857.0,2941.0,55.0
2020-05-07,282.0,8415.0,9188.0,217.0,218.0,26070.0,3040.0,55.0
2020-05-08,293.0,8521.0,9992.0,218.0,225.0,26299.0,3175.0,55.0
2020-05-09,300.0,8581.0,10656.0,219.0,231.0,26478.0,3220.0,56.0
2020-05-10,305.0,8656.0,11123.0,219.0,237.0,26621.0,3225.0,56.0
2020-05-11,314.0,8707.0,11625.0,224.0,244.0,26744.0,3256.0,56.0
2020-05-12,319.0,8761.0,12404.0,228.0,249.0,26920.0,3313.0,56.0
2020-05-13,329.0,8843.0,13158.0,229.0,252.0,27104.0,3460.0,56.0
2020-05-14,353.0,8903.0,13993.0,232.0,256.0,27321.0,3529.0,56.0
2020-05-15,356.0,8959.0,14817.0,232.0,260.0,27459.0,3646.0,56.0
2020-05-16,363.0,9005.0,15633.0,232.0,266.0,27563.0,3674.0,56.0
